"","vowel","X","token","fit","CI","rm.ranef","ul","ll","vowel.1","X.1","token.1","fit.1","CI.1","rm.ranef.1","ul.1","ll.1","vowel.2","X.2","token.2","fit.2","CI.2","rm.ranef.2","ul.2","ll.2"
"17","i",1.74485941339381,"0",374.958640638362,4.18808691125564,"s(token)",379.146727549617,370.770553727106,"u",1.74485941339381,"0",334.02350418787,3.88129356305982,"s(token)",337.90479775093,330.14221062481,"y",1.74485941339381,"0",361.748771309018,4.19276638705544,"s(token)",365.941537696073,357.556004921962
"18","i",1.78898910326151,"0",374.406535572746,4.18260814418527,"s(token)",378.589143716932,370.223927428561,"u",1.78898910326151,"0",321.329707032268,3.83522573391435,"s(token)",325.164932766183,317.494481298354,"y",1.78898910326151,"0",360.949244463479,4.18705339605964,"s(token)",365.136297859538,356.762191067419
"19","i",1.83311879312922,"0",371.22854374855,4.16408665592667,"s(token)",375.392630404476,367.064457092623,"u",1.83311879312922,"0",309.874193647809,3.78346753272583,"s(token)",313.657661180534,306.090726115083,"y",1.83311879312922,"0",357.97039381713,4.17459450461775,"s(token)",362.144988321748,353.795799312512
"20","i",1.87724848299693,"0",365.516672701881,4.15075512006272,"s(token)",369.667427821944,361.365917581818,"u",1.87724848299693,"0",300.717718315287,3.74068078550131,"s(token)",304.458399100789,296.977037529786,"y",1.87724848299693,"0",353.077495099186,4.16933403479083,"s(token)",357.246829133977,348.908161064395
"21","i",1.92137817286463,"0",357.793839588389,4.13532750122051,"s(token)",361.92916708961,353.658512087169,"u",1.92137817286463,"0",293.741000908884,3.69249574387255,"s(token)",297.433496652756,290.048505165011,"y",1.92137817286463,"0",346.803266395633,4.1585472345868,"s(token)",350.96181363022,342.644719161046
"22","i",1.96550786273234,"0",349.017909778743,4.11626700338961,"s(token)",353.134176782133,344.901642775354,"u",1.96550786273234,"0",288.322940238381,3.64688306905298,"s(token)",291.969823307434,284.676057169328,"y",1.96550786273234,"0",339.896960490452,4.14426372835753,"s(token)",344.041224218809,335.752696762094
"23","i",2.00963755260004,"0",340.341047482561,4.10573167246895,"s(token)",344.44677915503,336.235315810092,"u",2.00963755260004,"0",284.07716579595,3.62156976748864,"s(token)",287.698735563439,280.455596028462,"y",2.00963755260004,"0",333.148736117701,4.13548485313891,"s(token)",337.28422097084,329.013251264562
"24","i",2.05376724246775,"0",332.786523350119,4.0718558975053,"s(token)",336.858379247624,328.714667452613,"u",2.05376724246775,"0",281.029287164007,3.59328775202158,"s(token)",284.622574916028,277.435999411985,"y",2.05376724246775,"0",327.201690494914,4.10385977012631,"s(token)",331.30555026504,323.097830724788
"25","i",2.09789693233546,"0",326.958672870431,4.01309026819446,"s(token)",330.971763138626,322.945582602237,"u",2.09789693233546,"0",279.330633718059,3.56435499618608,"s(token)",282.894988714245,275.766278721873,"y",2.09789693233546,"0",322.403418723566,4.05591714715276,"s(token)",326.459335870718,318.347501576413
"26","i",2.14202662220316,"0",322.936962214109,3.98192234999478,"s(token)",326.918884564104,318.955039864114,"u",2.14202662220316,"0",278.926326480691,3.56225986332302,"s(token)",282.488586344014,275.364066617368,"y",2.14202662220316,"0",318.769566215079,4.03632005673172,"s(token)",322.80588627181,314.733246158347
"27","i",2.18615631207087,"0",320.41520677305,3.97467459538689,"s(token)",324.389881368437,316.440532177663,"u",2.18615631207087,"0",279.518152682714,3.56107531228203,"s(token)",283.079227994996,275.957077370432,"y",2.18615631207087,"0",316.083626835086,4.03276507489942,"s(token)",320.116391909985,312.050861760187
"28","i",2.23028600193858,"0",318.869308374959,3.98079455997373,"s(token)",322.850102934933,314.888513814985,"u",2.23028600193858,"0",280.707356450219,3.55718793149908,"s(token)",284.264544381718,277.15016851872,"y",2.23028600193858,"0",314.00411668386,4.03727560411535,"s(token)",318.041392287975,309.966841079745
"29","i",2.27441569180628,"0",317.79601225697,4.05564595644955,"s(token)",321.851658213419,313.74036630052,"u",2.27441569180628,"0",282.173231697743,3.62013647304049,"s(token)",285.793368170783,278.553095224703,"y",2.27441569180628,"0",312.213545857191,4.10892616449955,"s(token)",316.32247202169,308.104619692691
"30","i",2.31854538167399,"0",316.866097995881,4.24288376578719,"s(token)",321.108981761668,312.623214230094,"u",2.31854538167399,"0",283.724031606102,3.79726022888973,"s(token)",287.521291834992,279.926771377213,"y",2.31854538167399,"0",310.509432642927,4.29312180724117,"s(token)",314.802554450168,306.216310835686
