,vowel,time_point,x,y,token
791,i,91,738.45,320.24,7
792,i,92,741.1,323.71,7
793,i,93,743.73,327.2,7
794,i,94,746.31,330.72,7
795,i,95,748.86,334.26,7
796,i,96,751.39,337.83,7
797,i,97,753.89,341.41,7
798,i,98,756.36,345.01,7
799,i,99,758.81,348.62,7
800,i,0,492.41,357.94,8
801,i,1,494.13,353.98,8
802,i,2,495.81,350.0,8
803,i,3,497.43,346.0,8
804,i,4,499.01,341.98,8
805,i,5,500.51,337.95,8
806,i,6,501.92,333.88,8
807,i,7,503.23,329.76,8
808,i,8,504.49,325.63,8
809,i,9,505.76,321.51,8
810,i,10,507.11,317.41,8
811,i,11,508.57,313.35,8
812,i,12,510.1,309.32,8
813,i,13,511.7,305.31,8
814,i,14,513.34,301.32,8
815,i,15,515.02,297.34,8
816,i,16,516.73,293.39,8
817,i,17,518.51,289.46,8
818,i,18,520.33,285.55,8
819,i,19,522.18,281.65,8
820,i,20,524.04,277.75,8
821,i,21,525.87,273.85,8
822,i,22,527.67,269.91,8
823,i,23,529.44,265.96,8
824,i,24,531.24,262.03,8
825,i,25,533.1,258.14,8
826,i,26,535.06,254.34,8
827,i,27,537.15,250.57,8
828,i,28,539.38,246.84,8
829,i,29,541.73,243.17,8
830,i,30,544.2,239.61,8
831,i,31,546.77,236.2,8
832,i,32,549.49,232.92,8
833,i,33,552.41,229.7,8
834,i,34,555.5,226.6,8
835,i,35,558.72,223.67,8
836,i,36,562.03,220.94,8
837,i,37,565.44,218.38,8
838,i,38,569.0,215.88,8
839,i,39,572.7,213.51,8
840,i,40,576.51,211.38,8
841,i,41,580.4,209.57,8
842,i,42,584.37,208.1,8
843,i,43,588.47,206.7,8
844,i,44,592.67,205.44,8
845,i,45,596.92,204.41,8
846,i,46,601.2,203.72,8
847,i,47,605.45,203.45,8
848,i,48,609.74,203.53,8
849,i,49,614.08,203.88,8
850,i,50,618.41,204.45,8
851,i,51,622.69,205.18,8
852,i,52,626.9,206.02,8
853,i,53,631.05,207.07,8
854,i,54,635.19,208.44,8
855,i,55,639.27,210.06,8
856,i,56,643.24,211.87,8
857,i,57,647.05,213.83,8
858,i,58,650.69,215.95,8
859,i,59,654.19,218.42,8
860,i,60,657.58,221.14,8
861,i,61,660.89,224.01,8
862,i,62,664.15,226.91,8
863,i,63,667.38,229.76,8
864,i,64,670.64,232.62,8
865,i,65,673.87,235.54,8
866,i,66,677.01,238.54,8
867,i,67,679.98,241.66,8
868,i,68,682.7,244.91,8
869,i,69,685.2,248.37,8
870,i,70,687.53,252.0,8
871,i,71,689.78,255.71,8
